region,epid,n_lepi,n_plant,n_red_list_lepi_pa,n_red_list_plant_pa,av_reg_dist_lepi_pa,av_reg_dist_plant_pa,sum_troph_int_pa,n_unique_int_pa,connectance_pa,z_score_nest_pa,sum_crops_pa,n_crop_pests_pa
ALB,AEG01,0,0.4,0,0.14285714285714285,0.2245989304812835,0.12037037037037032,0.05806451612903226,0,0.5904309467254836,0.4776230094706605,0,1
ALB,AEG02,0.05555555555555555,0,0,0,0.012383900928792541,0.21980676328502424,0.04516129032258064,0,0.562549485352336,0.4345690858674263,0,1
ALB,AEG03,0.05555555555555555,0.2,0.08333333333333333,0,0.18414322250639387,0.15258215962441327,0.08387096774193549,0,0.7222342186712734,0.4525340784232663,0.06666666666666667,1
ALB,AEG04,0.16666666666666666,0,0.08333333333333333,0.14285714285714285,0.2245989304812835,0.12037037037037032,0.09032258064516129,0,0.5820665083135392,0.14159322128734572,0.03333333333333333,1
ALB,AEG05,0.16666666666666666,0.06666666666666667,0,0.14285714285714285,0.03850267379679142,0.058558558558558786,0.07741935483870968,0,0.36737925574030084,0.1264256410109704,0.06666666666666667,1
ALB,AEG06,0.16666666666666666,0.26666666666666666,0,0.14285714285714285,0.2245989304812835,0.15258215962441327,0.08387096774193549,0,0.211243072050673,0.4120318361367202,0,1
ALB,AEG07,0.5,0.7,0.5833333333333334,1,0.7563025210084033,0.9402515723270437,0.45161290322580644,0,0.42684143871792335,0.47085836595353253,0,1
ALB,AEG08,0.3888888888888889,0.7,0.16666666666666666,0,0.2926829268292684,0.25490196078431376,0.4774193548387097,0,0.6698051971211116,1,0.9333333333333333,0
ALB,AEG09,1,0.9,1,0.8571428571428571,0.6588235294117648,0.6724137931034482,0.8903225806451613,0.5,0.35467049660277306,0.7213035059972019,0.26666666666666666,1
ALB,AEG10,0.5555555555555556,0.43333333333333335,0.3333333333333333,0.14285714285714285,0.37151702786377705,0.21980676328502424,0.21935483870967742,0,0.08471892319873314,0.6373840289711696,0.5,0.5
ALB,AEG11,0,0.4,0,0.2857142857142857,0.025210084033613418,0.25490196078431376,0.05161290322580645,0,0.5067865626060402,0.20427847776086125,0.1,1
ALB,AEG12,0.2222222222222222,0.36666666666666664,0.16666666666666666,0.14285714285714285,0.2689075630252101,0.15258215962441327,0.18064516129032257,0,0.483035688102988,0,0.23333333333333334,0.5
