site_id,id,region,epid,measure_id,glz_class,epid_assigned,n_lepi,n_plant,n_red_list_lepi_pa,n_red_list_plant_pa,av_reg_dist_lepi_pa,av_reg_dist_plant_pa,sum_troph_int_pa,n_unique_int_pa,connectance_pa,z_score_nest_pa,sum_crops_pa,n_crop_pests_pa,sizemanagementunit_ha,slope,glz,oc_ha,oc_0.25ha,p_ha,optimisation,ecovalue,cost,budget
AEG27,all_scores_ESS50_AEG27,ALB,AEG27,9,1,AEG22,0.55556,0.6,0.41667,0.28571,0.31765,0.48925,0.58065,0,0.65439,0.64125,0.5,0.5,2.21,10.49,17,131.11,32.7775,257.63,all_scores_ESS50,5.041117306,32.7775,4076
AEG30,all_scores_ESS50_AEG30,ALB,AEG30,9,2,AEG22,0.55556,0.6,0.41667,0.28571,0.31765,0.48925,0.58065,0,0.65439,0.64125,0.5,0.5,1.37,11.29,32,273.01,68.2525,386.19,all_scores_ESS50,5.041117306,68.2525,4076
AEG31,all_scores_ESS50_AEG31,ALB,AEG31,9,1,AEG22,0.55556,0.6,0.41667,0.28571,0.31765,0.48925,0.58065,0,0.65439,0.64125,0.5,0.5,4.28,14.27,22,154.68,38.67,303.95,all_scores_ESS50,5.041117306,38.67,4076
AEG36,all_scores_ESS50_AEG36,ALB,AEG36,9,2,AEG22,0.55556,0.6,0.41667,0.28571,0.31765,0.48925,0.58065,0,0.65439,0.64125,0.5,0.5,9.64,6.45,30,235.38,58.845,370.85,all_scores_ESS50,5.041117306,58.845,4076
AEG37,all_scores_ESS50_AEG37,ALB,AEG37,12,2,AEG48,0.55556,0.56667,0.66667,1,0.86878,1,0.25806,1,0.09532,0.39658,0.23333,1,3.93,17.6,27,845.51,211.3775,-318.75,all_scores_ESS50,7.024306737,211.3775,4076
AEG38,all_scores_ESS50_AEG38,ALB,AEG38,11,3,AEG43,0.38889,0.36667,0.16667,0.28571,0.16521,0.05856,0.33548,0,0.64688,0.61798,0.46667,0.5,1.28,3.02,43,496.59,124.1475,378.12,all_scores_ESS50,3.515383079,124.1475,4076
AEG39,all_scores_ESS50_AEG39,ALB,AEG39,9,2,AEG22,0.55556,0.6,0.41667,0.28571,0.31765,0.48925,0.58065,0,0.65439,0.64125,0.5,0.5,5.55,10.74,29,216.76,54.19,362.97,all_scores_ESS50,5.041117306,54.19,4076
AEG40,all_scores_ESS50_AEG40,ALB,AEG40,9,2,AEG22,0.55556,0.6,0.41667,0.28571,0.31765,0.48925,0.58065,0,0.65439,0.64125,0.5,0.5,0.88,13.89,28,198.29,49.5725,354.95,all_scores_ESS50,5.041117306,49.5725,4076
AEG41,all_scores_ESS50_AEG41,ALB,AEG41,9,2,AEG22,0.55556,0.6,0.41667,0.28571,0.31765,0.48925,0.58065,0,0.65439,0.64125,0.5,0.5,5.39,14.55,31,254.12,63.53,378.59,all_scores_ESS50,5.041117306,63.53,4076
AEG42,all_scores_ESS50_AEG42,ALB,AEG42,12,2,AEG48,0.55556,0.56667,0.66667,1,0.86878,1,0.25806,1,0.09532,0.39658,0.23333,1,2.54,19.53,30,924.97,231.2425,-318.75,all_scores_ESS50,7.024306737,231.2425,4076
AEG43,all_scores_ESS50_AEG43,ALB,AEG43,9,2,AEG22,0.55556,0.6,0.41667,0.28571,0.31765,0.48925,0.58065,0,0.65439,0.64125,0.5,0.5,0.7,14.02,28,198.29,49.5725,354.95,all_scores_ESS50,5.041117306,49.5725,4076
AEG44,all_scores_ESS50_AEG44,ALB,AEG44,14,3,AEG44,0.38889,0.43333,0.16667,0.28571,0.31765,0.12037,0.25806,0,0.35841,0.3427,0.23333,1,1.16,24.71,36,170.63,42.6575,574.31,all_scores_ESS50,3.288461142,42.6575,4076
AEG45,all_scores_ESS50_AEG45,ALB,AEG45,11,3,AEG43,0.38889,0.36667,0.16667,0.28571,0.16521,0.05856,0.33548,0,0.64688,0.61798,0.46667,0.5,1.55,7.55,40,459.8,114.95,360.74,all_scores_ESS50,3.515383079,114.95,4076
AEG46,all_scores_ESS50_AEG46,ALB,AEG46,9,2,AEG22,0.55556,0.6,0.41667,0.28571,0.31765,0.48925,0.58065,0,0.65439,0.64125,0.5,0.5,5.44,14.48,30,235.38,58.845,370.85,all_scores_ESS50,5.041117306,58.845,4076
AEG47,all_scores_ESS50_AEG47,ALB,AEG47,12,1,AEG47,0.83333,0.83333,0.83333,0.42857,0.65882,0.57778,1,0,0.64851,0.66035,0,1,7.68,29.89,16,538.3,134.575,-380.8,all_scores_ESS50,6.97403281,134.575,4076
AEG48,all_scores_ESS50_AEG48,ALB,AEG48,12,1,AEG48,0.55556,0.56667,0.66667,1,0.86878,1,0.25806,1,0.09532,0.39658,0.23333,1,7.68,18.05,18,721.89,180.4725,-318.75,all_scores_ESS50,7.024306737,180.4725,4076
AEG1,ESR_AEG01,ALB,AEG01,15,2,AEG14,0.27778,0.13333,0,0.28571,0.06659,0.05856,0.24516,0,0.95847,0.89153,1,0,9.79,4.98,29,39.03,9.7575,540.71,ESR,1.849996049,9.7575,1378
AEG2,ESR_AEG02,ALB,AEG02,15,2,AEG14,0.27778,0.13333,0,0.28571,0.06659,0.05856,0.24516,0,0.95847,0.89153,1,0,6.34,10.83,29,39.03,9.7575,540.71,ESR,1.849996049,9.7575,1378
AEG3,ESR_AEG03,ALB,AEG03,15,2,AEG14,0.27778,0.13333,0,0.28571,0.06659,0.05856,0.24516,0,0.95847,0.89153,1,0,5.19,5.5,30,39.08,9.77,567.14,ESR,1.849996049,9.77,1378
AEG4,ESR_AEG04,ALB,AEG04,6,3,AEG23,0.11111,0.43333,0,0.28571,0,0.18571,0.20645,0,1,0.36939,0.46667,0.5,4.39,18.68,36,148.11,37.0275,600.19,ESR,1.369389207,37.0275,1378
AEG5,ESR_AEG05,ALB,AEG05,6,3,AEG23,0.11111,0.43333,0,0.28571,0,0.18571,0.20645,0,1,0.36939,0.46667,0.5,8.16,4.87,36,148.11,37.0275,600.19,ESR,1.369389207,37.0275,1378
AEG6,ESR_AEG06,ALB,AEG06,6,3,AEG23,0.11111,0.43333,0,0.28571,0,0.18571,0.20645,0,1,0.36939,0.46667,0.5,6.4,12.67,38,166.1,41.525,618.32,ESR,1.369389207,41.525,1378
AEG7,ESR_AEG07,ALB,AEG07,15,1,AEG14,0.27778,0.13333,0,0.28571,0.06659,0.05856,0.24516,0,0.95847,0.89153,1,0,9.1,18.05,18,60.26,15.065,228.11,ESR,1.849996049,15.065,1378
AEG8,ESR_AEG08,ALB,AEG08,15,2,AEG14,0.27778,0.13333,0,0.28571,0.06659,0.05856,0.24516,0,0.95847,0.89153,1,0,8.1,6.54,26,40.85,10.2125,459.42,ESR,1.849996049,10.2125,1378
AEG9,ESR_AEG09,ALB,AEG09,12,1,AEG09,1,0.9,1,0.85714,0.65882,0.67241,0.89032,0.5,0.35467,0.7213,0.26667,1,12.39,23.69,18,631.82,157.955,-401.34,ESR,1.075974003,157.955,1378
AEG11,ESR_AEG11,ALB,AEG11,6,3,AEG23,0.11111,0.43333,0,0.28571,0,0.18571,0.20645,0,1,0.36939,0.46667,0.5,5.61,8.87,35,139.36,34.84,590.87,ESR,1.369389207,34.84,1378
AEG12,ESR_AEG12,ALB,AEG12,15,1,AEG14,0.27778,0.13333,0,0.28571,0.06659,0.05856,0.24516,0,0.95847,0.89153,1,0,14.75,8.5,22,47.91,11.9775,346.4,ESR,1.849996049,11.9775,1378
AEG13,ESR_AEG13,ALB,AEG13,15,2,AEG14,0.27778,0.13333,0,0.28571,0.06659,0.05856,0.24516,0,0.95847,0.89153,1,0,6.74,12.49,33,41.22,10.305,644.47,ESR,1.849996049,10.305,1378
AEG14,ESR_AEG14,ALB,AEG14,15,2,AEG14,0.27778,0.13333,0,0.28571,0.06659,0.05856,0.24516,0,0.95847,0.89153,1,0,5.64,10.74,25,42.12,10.53,431.66,ESR,1.849996049,10.53,1378
AEG15,ESR_AEG15,ALB,AEG15,15,2,AEG14,0.27778,0.13333,0,0.28571,0.06659,0.05856,0.24516,0,0.95847,0.89153,1,0,3.78,11.94,33,41.22,10.305,644.47,ESR,1.849996049,10.305,1378
AEG17,ESR_AEG17,ALB,AEG17,15,2,AEG14,0.27778,0.13333,0,0.28571,0.06659,0.05856,0.24516,0,0.95847,0.89153,1,0,1.98,10.02,29,39.03,9.7575,540.71,ESR,1.849996049,9.7575,1378
AEG18,ESR_AEG18,ALB,AEG18,15,1,AEG14,0.27778,0.13333,0,0.28571,0.06659,0.05856,0.24516,0,0.95847,0.89153,1,0,3.5,6.57,20,53.42,13.355,287.92,ESR,1.849996049,13.355,1378
AEG19,ESR_AEG19,ALB,AEG19,15,2,AEG14,0.27778,0.13333,0,0.28571,0.06659,0.05856,0.24516,0,0.95847,0.89153,1,0,5.13,10.69,29,39.03,9.7575,540.71,ESR,1.849996049,9.7575,1378
AEG20,ESR_AEG20,ALB,AEG20,13,2,AEG46,0.22222,0.26667,0,0.14286,0.05229,0.12037,0.17419,0,0.56255,0.37067,0.5,0.5,2.19,26.93,27,515.88,128.97,2.57,ESR,0.933217399,128.97,1378
AEG21,ESR_AEG21,ALB,AEG21,15,2,AEG14,0.27778,0.13333,0,0.28571,0.06659,0.05856,0.24516,0,0.95847,0.89153,1,0,2.93,5.28,28,39.31,9.8275,513.94,ESR,1.849996049,9.8275,1378
AEG22,ESR_AEG22,ALB,AEG22,15,2,AEG14,0.27778,0.13333,0,0.28571,0.06659,0.05856,0.24516,0,0.95847,0.89153,1,0,4.84,14.89,30,39.08,9.77,567.14,ESR,1.849996049,9.77,1378
AEG23,ESR_AEG23,ALB,AEG23,6,3,AEG23,0.11111,0.43333,0,0.28571,0,0.18571,0.20645,0,1,0.36939,0.46667,0.5,0.49,2.53,44,224.05,56.0125,668.72,ESR,1.369389207,56.0125,1378
AEG24,ESR_AEG24,ALB,AEG24,15,2,AEG14,0.27778,0.13333,0,0.28571,0.06659,0.05856,0.24516,0,0.95847,0.89153,1,0,1.88,4.86,32,40.18,10.045,619.02,ESR,1.849996049,10.045,1378
AEG25,ESR_AEG25,ALB,AEG25,15,2,AEG14,0.27778,0.13333,0,0.28571,0.06659,0.05856,0.24516,0,0.95847,0.89153,1,0,22.06,17.17,34,42.6,10.65,669.58,ESR,1.849996049,10.65,1378
