region,epid,n_lepi,n_plant,n_red_list_lepi_pa,n_red_list_plant_pa,av_reg_dist_lepi_pa,av_reg_dist_plant_pa,sum_troph_int_pa,n_unique_int_pa,connectance_pa,z_score_nest_pa,sum_crops_pa,n_crop_pests_pa
SCH,SEG23,2,3,NA,NA,95,67,1,0,0.16666666666666666,NA,2,0
SCH,SEG24,6,9,NA,NA,93,63,12,0,0.2222222222222222,0.8855751080946741,19,1
SCH,SEG25,5,12,NA,NA,92,74,18,0,0.3,2.5881366197335005,4,0
SCH,SEG26,6,10,NA,NA,88,72,13,1,0.21666666666666667,0.6804163759659914,13,0
SCH,SEG28,9,9,NA,NA,89,73,18,1,0.2222222222222222,0.3436970944169158,13,0
SCH,SEG29,6,9,NA,NA,92,74,6,0,0.1111111111111111,0.31246069453217706,4,0
SCH,SEG31,5,10,NA,NA,89,66,19,0,0.38,2.4431210963526784,2,0
SCH,SEG32,2,9,NA,NA,90,59,8,0,0.4444444444444444,0.6804482853491217,0,0
SCH,SEG33,6,7,NA,NA,92,73,3,0,0.07142857142857142,NA,10,1
SCH,SEG34,2,6,NA,NA,94,72,3,0,0.25,NA,2,0
SCH,SEG35,3,5,NA,NA,94,77,4,0,0.26666666666666666,0.7019827457217059,17,1
SCH,SEG36,9,10,NA,NA,90,72,30,0,0.3333333333333333,1.7462020618042746,21,1
SCH,SEG37,6,15,NA,NA,92,67,43,0,0.4777777777777778,1.705474348199121,20,1
SCH,SEG38,8,12,NA,NA,91,73,31,0,0.3229166666666667,2.724581218425057,12,1
SCH,SEG39,5,13,NA,NA,93,67,30,0,0.4615384615384616,1.5244916240566189,2,0
SCH,SEG40,4,16,NA,NA,93,63,26,0,0.40625,0.7963884764335162,2,0
SCH,SEG41,6,7,NA,NA,88,76,16,0,0.380952380952381,1.1436766233559186,2,0
SCH,SEG42,7,11,NA,NA,91,71,28,0,0.3636363636363637,0.13374083628469097,28,2
SCH,SEG43,3,12,NA,NA,94,68,16,0,0.4444444444444444,0.5125378611919674,2,0
SCH,SEG46,5,6,NA,NA,93,74,8,0,0.26666666666666666,0.7555234231219012,27,2
SCH,SEG47,8,10,NA,NA,89,77,35,0,0.4375,0.34675063196402556,4,0
SCH,SEG48,5,11,NA,NA,92,67,19,0,0.34545454545454546,0.2575548917447577,10,1
SCH,SEG49,5,12,NA,NA,85,68,27,0,0.45,0.05780743849704391,10,1
