site_id,id,region,epid,measure_id,glz_class,epid_assigned,n_lepi,n_plant,av_reg_dist_lepi_pa,av_reg_dist_plant_pa,sum_troph_int_pa,n_unique_int_pa,connectance_pa,z_score_nest_pa,sum_crops_pa,n_crop_pests_pa,sizemanagementunit_ha,slope,glz,oc_ha,oc_0.25ha,p_ha,optimisation,ecovalue,cost,budget
SEG26,av_reg_dist_lepi_pa_SEG26,SCH,SEG26,11,2,SEG21,0.375,0.384615385,1,0.545131485,0.285714286,0,0.702586207,0,0.071428571,1,43.4,0.31,34,247.46,61.87,522.31,av_reg_dist_lepi_pa,1,61.87,3149
SEG28,av_reg_dist_lepi_pa_SEG28,SCH,SEG28,11,3,SEG21,0.375,0.384615385,1,0.545131485,0.285714286,0,0.702586207,0,0.071428571,1,19.9,0.96,48,326.36,81.59,772.5,av_reg_dist_lepi_pa,1,81.59,3149
SEG29,av_reg_dist_lepi_pa_SEG29,SCH,SEG29,11,3,SEG21,0.375,0.384615385,1,0.545131485,0.285714286,0,0.702586207,0,0.071428571,1,19.9,0.62,48,326.36,81.59,772.5,av_reg_dist_lepi_pa,1,81.59,3149
SEG31,av_reg_dist_lepi_pa_SEG31,SCH,SEG31,11,3,SEG21,0.375,0.384615385,1,0.545131485,0.285714286,0,0.702586207,0,0.071428571,1,32.44,4.68,45,321.06,80.27,756.86,av_reg_dist_lepi_pa,1,80.27,3149
SEG32,av_reg_dist_lepi_pa_SEG32,SCH,SEG32,11,3,SEG21,0.375,0.384615385,1,0.545131485,0.285714286,0,0.702586207,0,0.071428571,1,32.44,2.44,56,344.84,86.21,835.05,av_reg_dist_lepi_pa,1,86.21,3149
SEG33,av_reg_dist_lepi_pa_SEG33,SCH,SEG33,11,3,SEG21,0.375,0.384615385,1,0.545131485,0.285714286,0,0.702586207,0,0.071428571,1,8.17,3.55,37,278.8,69.7,616.13,av_reg_dist_lepi_pa,1,69.7,3149
SEG34,av_reg_dist_lepi_pa_SEG34,SCH,SEG34,11,3,SEG21,0.375,0.384615385,1,0.545131485,0.285714286,0,0.702586207,0,0.071428571,1,27.76,8.09,37,278.8,69.7,616.13,av_reg_dist_lepi_pa,1,69.7,3149
SEG35,av_reg_dist_lepi_pa_SEG35,SCH,SEG35,11,3,SEG21,0.375,0.384615385,1,0.545131485,0.285714286,0,0.702586207,0,0.071428571,1,27.76,2.47,40,311.82,77.96,725.59,av_reg_dist_lepi_pa,1,77.96,3149
SEG36,av_reg_dist_lepi_pa_SEG36,SCH,SEG36,11,3,SEG21,0.375,0.384615385,1,0.545131485,0.285714286,0,0.702586207,0,0.071428571,1,6.56,3.33,36,270.93,67.73,584.86,av_reg_dist_lepi_pa,1,67.73,3149
SEG37,av_reg_dist_lepi_pa_SEG37,SCH,SEG37,13,1,SEG49,0.5,0.692307692,1,0.495798319,0.619047619,0,0.793103448,0.372971036,0.357142857,0.5,18.16,4.37,21,318.63,79.66,131.4,av_reg_dist_lepi_pa,1,79.66,3149
SEG38,av_reg_dist_lepi_pa_SEG38,SCH,SEG38,11,2,SEG21,0.375,0.384615385,1,0.545131485,0.285714286,0,0.702586207,0,0.071428571,1,3.32,2.1,34,247.46,61.87,522.31,av_reg_dist_lepi_pa,1,61.87,3149
SEG39,av_reg_dist_lepi_pa_SEG39,SCH,SEG39,11,2,SEG21,0.375,0.384615385,1,0.545131485,0.285714286,0,0.702586207,0,0.071428571,1,11.76,1.74,34,247.46,61.87,522.31,av_reg_dist_lepi_pa,1,61.87,3149
SEG40,av_reg_dist_lepi_pa_SEG40,SCH,SEG40,13,1,SEG49,0.5,0.692307692,1,0.495798319,0.619047619,0,0.793103448,0.372971036,0.357142857,0.5,16.62,3.88,25,318.25,79.56,256.49,av_reg_dist_lepi_pa,1,79.56,3149
SEG41,av_reg_dist_lepi_pa_SEG41,SCH,SEG41,11,3,SEG21,0.375,0.384615385,1,0.545131485,0.285714286,0,0.702586207,0,0.071428571,1,8.11,0.98,39,297.28,74.32,678.68,av_reg_dist_lepi_pa,1,74.32,3149
SEG42,av_reg_dist_lepi_pa_SEG42,SCH,SEG42,11,2,SEG21,0.375,0.384615385,1,0.545131485,0.285714286,0,0.702586207,0,0.071428571,1,10.93,4.01,29,333.53,83.38,365.95,av_reg_dist_lepi_pa,1,83.38,3149
SEG43,av_reg_dist_lepi_pa_SEG43,SCH,SEG43,13,1,SEG49,0.5,0.692307692,1,0.495798319,0.619047619,0,0.793103448,0.372971036,0.357142857,0.5,9.72,2.82,23,318.45,79.61,193.94,av_reg_dist_lepi_pa,1,79.61,3149
SEG46,av_reg_dist_lepi_pa_SEG46,SCH,SEG46,11,3,SEG21,0.375,0.384615385,1,0.545131485,0.285714286,0,0.702586207,0,0.071428571,1,3.34,1.67,41,311.82,77.96,725.59,av_reg_dist_lepi_pa,1,77.96,3149
